1000005	0.053059	0.39962	12.3996	 12             67            157           3.56      28.241469	
1000005	0.053059	0.48551	12.4855	 57             33            697          11.82      120.34505	
1000005	0.053059	0.68561	12.6856	 31             43            246           4.73       51.18828	
1000005	0.053059	0.70119	12.7012	 55             26            526           8.93      148.39077	
1000005	0.053059	0.77889	12.7789	 38             15            412           6.08      161.54537	
1000005	0.053059	0.79224	12.7922	 67             40            630          15.18      107.84174	
1000005	0.053059	0.95973	12.9597	 67             20            599           8.71       147.1796	
1000005	0.053059	0.97548	12.9755	 59             31            557           8.09      116.07899	
1000005	0.053059	0.99203	 12.992	 49             29            512           9.71      138.93301	
1000005	0.053059	 1.0845	13.0845	154             16           1415           17.1       139.7207	
1000005	0.053059	 1.1399	13.1399	 27             29            256           5.74      37.400943	
1000005	0.053059	 1.2903	13.2903	 40             16            390           6.12      146.63414	
1000005	0.053059	 1.3447	13.3447	 43             76            494           6.63      157.34568	
1000005	0.053059	 1.7774	13.7774	 52             24            509          13.57      103.96987	
1000005	0.053059	 1.8212	13.8212	 48             30            584          10.98      147.95937	
1000005	0.053059	 1.8545	13.8545	 36             24            425           6.22      162.91716	
1000005	0.053059	 1.8642	13.8642	 60             38            623          12.07      150.58869	
1000005	0.053059	  1.993	 13.993	 43             17            487           9.01      144.51481	
1000005	0.053059	 2.0306	14.0306	 63             19            581           9.72      141.99044	
1000005	0.053059	 2.2001	14.2001	 61             25            583           8.68      129.27595	
1000005	0.053059	 2.7644	14.7644	 84             43            727           9.62      107.82703	
1000006	0.053077	 0.2891	15.2891	 27             19            238           6.07      45.477323	
1000006	0.053077	0.44456	15.4446	 43             34            383           6.96      96.201966	
1000006	0.053077	0.52299	 15.523	 57             62            556            8.5      129.94587	
1000006	0.053077	0.57064	15.5706	 18             38            234           4.19      74.108153	
1000006	0.053077	0.58087	15.5809	 46             38            390           7.36      75.139137	
1000006	0.053077	0.59914	15.5991	 45             79            463           9.86      140.58691	
1000006	0.053077	0.77373	15.7737	 67             33            732          11.96      75.079383	
1000006	0.053077	 1.1071	16.1071	 33             42            342           8.09      117.51986	
1000006	0.053077	 1.1378	16.1378	 43             35            444            7.3      146.18416	
1000006	0.053077	 1.1467	16.1467	 35            156            419           8.81      28.998505	
1000006	0.053077	 1.2262	16.2262	 64             32            708          14.43      198.66223	
1000006	0.053077	 1.2824	16.2824	 84             33            932          17.93      137.71848	
1000006	0.053077	 1.5501	16.5501	 41             64            481           8.81      148.28364	
1000006	0.053077	 1.8442	16.8442	 19             45            200           4.16      72.425177	
1000006	0.053077	 1.8879	16.8879	 53             33            526          11.35      124.00939	
1000006	0.053077	 2.6573	17.6573	 43             72            553          13.23      134.03226	
1000006	0.053077	 2.9154	17.9154	 29             36            317           6.07      41.573781	
1000007	0.053069	0.02085	18.0208	 28             32            375           8.74      159.70099	
1000007	0.053069	0.12744	18.1274	 25             44            218           3.98      82.809836	
1000007	0.053069	0.27294	18.2729	 66             69            553          14.54       147.0575	
1000007	0.053069	 0.5807	18.5807	 65             24            562           9.78      145.70949	
1000007	0.053069	0.67179	18.6718	 55             22            493           9.99      142.54423	
1000007	0.053069	0.73968	18.7397	 46             28            408           7.74      99.812995	
1000007	0.053069	0.76992	18.7699	 57             34            593          15.15      116.91872	
1000007	0.053069	0.87378	18.8738	 34             42            341           5.11       102.2887	
1000007	0.053069	0.91027	18.9103	 99             29           1040          14.94       120.9829	
1000007	0.053069	 1.0062	19.0062	 13             30            167           3.12      82.642676	
1000007	0.053069	 1.0626	19.0626	 54             22            498           7.19      149.22992	
1000007	0.053069	 1.1843	19.1843	 36             26            404           7.88      93.335769	
1000007	0.053069	 1.2162	19.2162	 43             30            538           9.03      155.47469	
1000007	0.053069	 1.5216	19.5216	 20             83            228           4.26      28.025847	
1000007	0.053069	 1.5762	19.5762	 46             41            475           9.26      105.82947	
